Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
feetech-hl3915m,Feetech HL3915M,"<p>The finger servo. Sixteen of these drive one ORCA hand — dual-shaft so the output is supported on both sides, steel gears because a tendon-driven finger stalls often.</p><ul><li>Dual output shafts — the finger pivot is supported at both ends</li><li>Full steel gear train, rated for repeated stall</li><li>1 Mbit TTL bus: 16 servos share four wires</li><li>Position, speed and load readback on every servo</li></ul><h3>Performance</h3><table><tr><th>Stall torque</th><td>14 kg·cm at 12 V</td></tr><tr><th>Operating voltage</th><td>9–14.8 V DC</td></tr><tr><th>Gear train</th><td>Full steel</td></tr></table><h3>Feedback & control</h3><table><tr><th>Bus</th><td>TTL half-duplex, up to 1 Mbit/s</td></tr><tr><th>Feedback</th><td>Position, speed, load, voltage, temperature</td></tr><tr><th>Addressing</th><td>1–253 on one chain</td></tr><tr><th>Part number</th><td>HL-3915-C001</td></tr></table><h3>Physical</h3><table><tr><th>Output</th><td>Dual shaft</td></tr><tr><th>Connector</th><td>3-pin, daisy-chainable</td></tr></table>",Feetech,,actuators,"mabel,orca,hand,ttl,force-control",TRUE,Title,Default Title,MR-ACT-3915,shopify,continue,manual,44.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/feetech-hl3915m.svg,Feetech HL3915M,active
feetech-hl3930m,Feetech HL3930M,"<p>The wrist servo of an ORCA hand. Metal case, two and a half times the torque of the finger servo, on the same TTL bus and in the same control API.</p><ul><li>35 kg·cm — rotates a loaded hand</li><li>Metal case, better heat path under sustained load</li><li>Same 1 Mbit TTL bus as the HL3915M</li><li>One per hand</li></ul><h3>Performance</h3><table><tr><th>Stall torque</th><td>35 kg·cm at 12 V</td></tr><tr><th>Operating voltage</th><td>9–14.8 V DC</td></tr><tr><th>Case</th><td>Metal</td></tr></table><h3>Feedback & control</h3><table><tr><th>Bus</th><td>TTL half-duplex, up to 1 Mbit/s</td></tr><tr><th>Feedback</th><td>Position, speed, load, voltage, temperature</td></tr><tr><th>Part number</th><td>HL-3930-C001</td></tr></table><h3>Physical</h3><table><tr><th>Output</th><td>Dual shaft</td></tr><tr><th>Connector</th><td>3-pin, daisy-chainable</td></tr></table>",Feetech,,actuators,"mabel,orca,hand,wrist,ttl",TRUE,Title,Default Title,MR-ACT-3930,shopify,continue,manual,69.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/feetech-hl3930m.svg,Feetech HL3930M,active
feetech-sts3215,Feetech STS3215,"<p>The servo behind most low-cost teleoperation arms. A magnetic encoder on the output gives it absolute position, which is what makes leader-follower arms practical.</p><ul><li>Magnetic absolute encoder — knows its angle at power-on</li><li>30 kg·cm at 12 V</li><li>1 Mbit TTL bus, chainable</li><li>The standard actuator for leader-follower teleop rigs</li></ul><h3>Performance</h3><table><tr><th>Stall torque</th><td>30 kg·cm at 12 V</td></tr><tr><th>Operating voltage</th><td>6–12.6 V DC</td></tr><tr><th>Gear train</th><td>Metal</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>12-bit magnetic, absolute</td></tr><tr><th>Bus</th><td>TTL half-duplex, up to 1 Mbit/s</td></tr><tr><th>Feedback</th><td>Position, speed, load, temperature</td></tr></table><h3>Physical</h3><table><tr><th>Rotation</th><td>360° continuous or 0–360° position</td></tr></table>",Feetech,,actuators,"ttl,budget,teleop",TRUE,Title,Default Title,MR-ACT-3215,shopify,continue,manual,19.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/feetech-sts3215.svg,Feetech STS3215,active
dynamixel-xc330,Dynamixel XC330-T181-T,"<p>A small, precise smart servo with a real control table — current-based position control, PID gains you can tune live, and status you can trust. MABEL's neck.</p><ul><li>181:1 gearing in a 23 g-class housing</li><li>Current-based position control for compliant head motion</li><li>Full control table over TTL</li><li>Two drive MABEL's neck pitch and roll</li></ul><h3>Performance</h3><table><tr><th>Stall torque</th><td>0.92 N·m at 12 V</td></tr><tr><th>Reduction</th><td>181:1</td></tr><tr><th>No-load speed</th><td>81 rpm at 12 V</td></tr><tr><th>Operating voltage</th><td>5–12 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>12-bit magnetic contactless</td></tr><tr><th>Control modes</th><td>Current · velocity · position · extended position · PWM</td></tr><tr><th>Bus</th><td>TTL, up to 4.5 Mbit/s</td></tr><tr><th>Model number</th><td>1190</td></tr></table><h3>Physical</h3><table><tr><th>Mass</th><td>23 g</td></tr><tr><th>Case</th><td>Engineering plastic</td></tr></table>",Robotis,,actuators,"mabel,neck,head,ttl",TRUE,Title,Default Title,MR-ACT-XC330,shopify,continue,manual,139.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/dynamixel-xc330.svg,Dynamixel XC330-T181-T,active
nema17-foc,NEMA 17 Closed-Loop Stepper,"<p>A stepper that behaves like a servo. The integrated driver closes the loop on a magnetic encoder and commutates with field-oriented control, so it never loses steps and draws current in proportion to the load rather than constantly.</p><ul><li>Closed-loop FOC — no lost steps, no holding-current heat soak</li><li>Magnetic encoder on the rear shaft</li><li>Step/dir, UART or CAN command</li><li>For lead screws, lifts and linear axes</li></ul><h3>Performance</h3><table><tr><th>Holding torque</th><td>0.45 N·m</td></tr><tr><th>Step angle</th><td>1.8° (200 steps/rev)</td></tr><tr><th>Microstepping</th><td>Up to 1/256</td></tr><tr><th>Rated current</th><td>1.5 A/phase</td></tr><tr><th>Supply</th><td>12–36 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>14-bit magnetic, on-shaft</td></tr><tr><th>Commutation</th><td>Field-oriented control</td></tr><tr><th>Interface</th><td>Step/dir · UART · CAN</td></tr></table><h3>Physical</h3><table><tr><th>Frame</th><td>NEMA 17, 42 mm</td></tr><tr><th>Body length</th><td>48 mm</td></tr><tr><th>Shaft</th><td>5 mm with flat</td></tr></table>",MABEL Robotics,,actuators,"stepper,foc,lift,linear",TRUE,Title,Default Title,MR-ACT-N17FOC,shopify,continue,manual,44.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/nema17-foc.svg,NEMA 17 Closed-Loop Stepper,active
nema23-foc,NEMA 23 Closed-Loop Stepper,"<p>The larger closed-loop stepper, for gantries, heavy lifts and anything that has to hold position with the power off the coils.</p><ul><li>1.9 N·m holding torque</li><li>Closed-loop FOC with on-shaft encoder</li><li>Step/dir, UART or CAN</li><li>57 mm NEMA 23 frame</li></ul><h3>Performance</h3><table><tr><th>Holding torque</th><td>1.9 N·m</td></tr><tr><th>Step angle</th><td>1.8°</td></tr><tr><th>Rated current</th><td>3.0 A/phase</td></tr><tr><th>Supply</th><td>24–48 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>14-bit magnetic</td></tr><tr><th>Commutation</th><td>Field-oriented control</td></tr><tr><th>Interface</th><td>Step/dir · UART · CAN</td></tr></table><h3>Physical</h3><table><tr><th>Frame</th><td>NEMA 23, 57 mm</td></tr><tr><th>Shaft</th><td>8 mm with flat</td></tr></table>",MABEL Robotics,,actuators,"stepper,foc,gantry",TRUE,Title,Default Title,MR-ACT-N23FOC,shopify,continue,manual,79.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/nema23-foc.svg,NEMA 23 Closed-Loop Stepper,active
lift-column,Linear Lift Column,"<p>A three-stage telescoping column that gives a mobile robot a floor-to-tabletop workspace. MABEL uses the column and frame from a FlexiSpot E7 Pro desk, driven by its own controller instead of the desk's.</p><ul><li>0–635 mm stroke, three stages</li><li>Holds position with power removed</li><li>Driven from a Pico + BTS7960 in MABEL, or from your own controller</li><li>Turns a fixed-height robot into one that reaches the floor and the counter</li></ul><h3>Performance</h3><table><tr><th>Stroke</th><td>0–635 mm</td></tr><tr><th>Stages</th><td>3</td></tr><tr><th>Supply</th><td>24 V DC</td></tr><tr><th>Holding</th><td>Leadscrew, self-locking</td></tr></table><h3>Integration</h3><table><tr><th>Control</th><td>Direct H-bridge, or the MABEL Pico lift board</td></tr><tr><th>Feedback</th><td>Hall/limit, position by count</td></tr><tr><th>Source</th><td>FlexiSpot E7 Pro column and frame (CBR4830MD-E7WS)</td></tr></table><h3>Physical</h3><table><tr><th>Top plate</th><td>Bolt pattern for the MABEL torso adapter</td></tr></table>",MABEL Robotics,,actuators,"mabel,torso,linear",TRUE,Title,Default Title,MR-ACT-LIFT,shopify,continue,manual,519.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/lift-column.svg,Linear Lift Column,active
planetary-gearbox-n17,"Planetary Gearbox, NEMA 17","<p>A planetary reduction that bolts to any NEMA 17 face. Trades speed for torque and reduces the resolution you need from the driver.</p><ul><li>5:1, 10:1 and 27:1 ratios</li><li>≤1° backlash</li><li>Standard NEMA 17 input face</li><li>8 mm keyed output</li></ul><h3>Performance</h3><table><tr><th>Ratios</th><td>5:1 · 10:1 · 27:1</td></tr><tr><th>Backlash</th><td>≤ 1°</td></tr><tr><th>Rated output torque</th><td>3 N·m at 10:1</td></tr><tr><th>Efficiency</th><td>≈ 90%</td></tr></table><h3>Physical</h3><table><tr><th>Input</th><td>NEMA 17 face, 5 mm bore</td></tr><tr><th>Output</th><td>8 mm keyed</td></tr><tr><th>Mass</th><td>260 g at 10:1</td></tr></table>",MABEL Robotics,,actuators,"gearbox,stepper",TRUE,Title,Default Title,MR-ACT-PG17,shopify,continue,manual,39.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/planetary-gearbox-n17.svg,"Planetary Gearbox, NEMA 17",active
swerve-module,MABEL Swerve Module,"<p>One corner of a holonomic base, built and run in before it ships. Independent drive and steering motors, a belt-driven azimuth stage with an absolute encoder, and a traction wheel — bolt three or four to a plate and the robot moves in any direction while facing any direction.</p><ul><li>Drive and azimuth motors, controllers, belt stage and wheel — complete</li><li>Absolute azimuth encoder: no homing routine at power-on</li><li>Continuous 360° steering, no wire wrap</li><li>Every module is run through a steering and drive test before it ships</li></ul><h3>Drive</h3><table><tr><th>Wheel diameter</th><td>76 mm (3 in)</td></tr><tr><th>Free speed</th><td>4.4 m/s</td></tr><tr><th>Drive reduction</th><td>Belt + planetary</td></tr><tr><th>Traction</th><td>Grey rubber tread</td></tr></table><h3>Steering</h3><table><tr><th>Azimuth range</th><td>Continuous 360°</td></tr><tr><th>Azimuth feedback</th><td>Absolute magnetic encoder</td></tr><tr><th>Azimuth reduction</th><td>Belt drive</td></tr></table><h3>Interfaces</h3><table><tr><th>Bus</th><td>CAN</td></tr><tr><th>Supply</th><td>24 V DC</td></tr><tr><th>Mounting</th><td>Flat top plate, bolt circle</td></tr></table>",MABEL Robotics,,wheels,"mabel,base,holonomic,swerve",TRUE,Title,Default Title,MR-WHL-SWRV,shopify,continue,manual,899.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/swerve-module.svg,MABEL Swerve Module,active
hexfellow-swerve-motor,HexFellow FOC Drive Motor,"<p>The motor inside a swerve module. Field-oriented control with the driver on board, speaking CANopen so it joins the same bus as the rest of the drivetrain.</p><ul><li>Integrated FOC driver — velocity and torque control out of the box</li><li>CANopen: two motors per swerve module, all on one bus</li><li>Temperature telemetry per motor</li><li>Two per module in a four-module base</li></ul><h3>Performance</h3><table><tr><th>Control</th><td>Field-oriented, velocity and torque</td></tr><tr><th>Supply</th><td>24 V DC</td></tr></table><h3>Interfaces</h3><table><tr><th>Protocol</th><td>CANopen</td></tr><tr><th>Telemetry</th><td>Speed, current, temperature</td></tr><tr><th>Data format</th><td>float32 process values</td></tr></table>",HexFellow,,wheels,"swerve,canopen,foc,base",TRUE,Title,Default Title,MR-WHL-HEXF,shopify,continue,manual,239.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/hexfellow-swerve-motor.svg,HexFellow FOC Drive Motor,active
azimuth-encoder-kit,Azimuth Encoder Kit,"<p>Absolute angle on the steering axis, so a module knows which way its wheel points the instant it powers on. Magnet, board, and the standoffs to set the air gap.</p><ul><li>14-bit absolute — no homing sweep at boot</li><li>Diametric magnet and mount included</li><li>SPI or PWM output</li><li>Sets the air gap correctly by construction</li></ul><h3>Performance</h3><table><tr><th>Resolution</th><td>14-bit (16 384 counts/rev)</td></tr><tr><th>Type</th><td>Absolute, on-axis magnetic</td></tr><tr><th>Air gap</th><td>0.5–2.5 mm</td></tr></table><h3>Interfaces</h3><table><tr><th>Output</th><td>SPI · PWM · analogue</td></tr><tr><th>Supply</th><td>3.3 or 5 V</td></tr></table>",MABEL Robotics,,wheels,"swerve,encoder,base",TRUE,Title,Default Title,MR-WHL-AZENC,shopify,continue,manual,34.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/azimuth-encoder-kit.svg,Azimuth Encoder Kit,active
wheel-traction-3,"Traction Wheel, 76 mm","<p>Grey non-marking tread on an aluminium hub. The default swerve wheel.</p><ul><li>Aluminium hub, not moulded plastic</li><li>Standard hex or bolt-circle bore</li><li>Non-marking compound</li><li>Matched sets available</li></ul><h3>Wheel</h3><table><tr><th>Diameter</th><td>76 mm (3 in)</td></tr><tr><th>Type</th><td>Traction</td></tr><tr><th>Tread</th><td>Non-marking rubber</td></tr><tr><th>Hub</th><td>Machined aluminium</td></tr></table><h3>Fitment</h3><table><tr><th>Bore</th><td>1/2 in hex or M8 bolt circle</td></tr><tr><th>Load rating</th><td>25 kg per wheel</td></tr></table>",MABEL Robotics,,wheels,"base,traction",TRUE,Title,Default Title,MR-WHL-3,shopify,continue,manual,17.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/wheel-traction-3.svg,"Traction Wheel, 76 mm",active
wheel-traction-6,"Traction Wheel, 152 mm","<p>A larger traction wheel for rougher floors, door thresholds and cable runs.</p><ul><li>Aluminium hub, not moulded plastic</li><li>Standard hex or bolt-circle bore</li><li>Non-marking compound</li><li>Matched sets available</li></ul><h3>Wheel</h3><table><tr><th>Diameter</th><td>152 mm (6 in)</td></tr><tr><th>Type</th><td>Traction</td></tr><tr><th>Tread</th><td>Non-marking rubber</td></tr><tr><th>Hub</th><td>Machined aluminium</td></tr></table><h3>Fitment</h3><table><tr><th>Bore</th><td>1/2 in hex or M8 bolt circle</td></tr><tr><th>Load rating</th><td>25 kg per wheel</td></tr></table>",MABEL Robotics,,wheels,"base,traction",TRUE,Title,Default Title,MR-WHL-6,shopify,continue,manual,34.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/wheel-traction-6.svg,"Traction Wheel, 152 mm",active
